index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, mag x, mag y, mag z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z,quatadj w, quatadj x, quatadj y, quatadj z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,abs imu accel,abs adxl accel, pad altitude, baro max alt, mag raw x, mag raw y, mag raw z, cov x, cov y, cov z, sats, status, met, filtered accel ,state,battstate,pyros fired,pyros cont,pyros state, checksum2
newfile
index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, mag x, mag y, mag z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z,quatadj w, quatadj x, quatadj y, quatadj z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,abs imu accel,abs adxl accel, pad altitude, baro max alt, mag raw x, mag raw y, mag raw z, cov x, cov y, cov z, sats, status, met, filtered accel ,state,battstate,pyros fired,pyros cont,pyros state, checksum2
0, 101,40136,40118,-10438,0,0,1.435954,-9.740341,0.013109,-0.066491,0.022238,0.044378,-61.824028,114.834846,5.787781,1.922103,-9.610518,-6.246836,0.460945,-2.452222,0.218340,179.497604,144.214199,-7.854338,0.069092,0.306371,0.023309,0.949115,0.066519,0.306229,0.025204,0.949297,1981.193848,80188.054688,0.279708,0.168001,0.755981,0.467407,0.466460,27.625000,35.515377,9.845628,11.622371,1980.726440,0.755981,-0.618240,1.148348,0.057878,0.000969,0.000243,0.000335,0,1,0,0.031314,0,0.390000,0,15,0,202
1, 101,40212,40183,-10362,0,0,1.379700,-9.700977,0.059102,0.045140,-0.019022,-0.002346,-61.356331,114.630219,6.503946,1.441578,-9.610518,-5.285784,-0.011495,-0.565925,2.017514,179.875573,144.151621,-8.170423,0.068116,0.306903,0.022955,0.949023,0.068116,0.306903,0.022955,0.949023,1981.165161,80185.867188,0.131189,0.169314,0.755981,0.438721,0.464564,27.625000,35.506287,9.798777,11.062536,1980.726440,0.755981,-0.613563,1.146302,0.065039,0.000969,0.000243,0.000335,0,1,0,0.018755,0,0.390000,0,15,0,202
2, 101,40291,40287,-10283,0,0,1.397659,-9.722044,0.052439,0.008180,-0.023621,0.021103,-61.940948,114.425613,5.305466,1.441578,-10.571568,-5.285784,-2.384587,2.294141,-1.105279,179.795332,144.278799,-8.019686,0.067104,0.305832,0.023143,0.949436,0.067104,0.305832,0.023143,0.949436,1981.195801,80188.054688,0.204389,0.170405,0.755981,0.469360,0.482738,27.625000,35.515377,9.822135,11.906961,1980.726440,0.755981,-0.619410,1.144256,0.053055,0.000969,0.000243,0.000335,0,1,0,0.012295,0,0.390000,0,15,0,202
3, 101,40377,40358,-10197,0,0,1.410444,-9.712503,0.037603,0.002733,-0.022155,0.013428,-61.897106,114.440224,6.372406,1.922103,-10.091043,-5.766310,-0.665799,-1.118031,-1.517975,179.870286,144.231220,-8.124224,0.067954,0.306178,0.023831,0.949247,0.067762,0.306249,0.022829,0.949262,1981.239990,80184.843750,0.389651,0.171256,0.755981,0.513550,0.491024,27.625000,35.506287,9.814453,11.780236,1980.726440,0.755981,-0.618971,1.144402,0.063724,0.000969,0.000244,0.000335,0,1,0,-0.004246,0,0.390000,0,15,0,202
4, 101,40465,40429,-10109,0,0,1.393933,-9.717860,0.048198,-0.007399,0.000421,-0.001779,-62.262493,114.323296,5.875475,1.441578,-10.091043,-5.285784,-0.056430,-2.209721,-0.822699,179.750730,144.247708,-8.123892,0.068081,0.306042,0.023808,0.949282,0.068081,0.306042,0.023808,0.949282,1981.191162,80186.007812,0.000126,0.171049,0.755981,0.464722,0.494638,27.625000,35.515377,9.817443,11.482457,1980.726440,0.755981,-0.622625,1.143233,0.058755,0.000969,0.000244,0.000335,0,1,0,0.016222,0,0.390000,0,15,0,202
5, 101,40532,40504,-10042,0,0,1.417747,-9.715229,0.032560,-0.032296,-0.004614,0.017130,-61.400177,114.133301,6.007015,1.922103,-10.571568,-6.246836,0.085613,1.080301,1.581859,179.656706,144.198708,-7.933161,0.066744,0.306432,0.024106,0.949243,0.066744,0.306432,0.024106,0.949243,1981.202148,80186.562500,0.056840,0.171173,0.755981,0.475708,0.499330,27.625000,35.501743,9.818185,12.428818,1980.726440,0.755981,-0.614002,1.141333,0.060070,0.000970,0.000244,0.000335,0,1,0,0.015832,0,0.390000,0,15,0,202
6, 101,40610,40583,-9964,0,0,1.439705,-9.714003,0.049892,-0.046466,-0.011097,0.019122,-62.028648,114.177147,5.729319,2.402629,-10.091043,-5.285784,2.308068,-0.994847,-0.785639,179.509857,144.162549,-7.885731,0.068915,0.306676,0.025045,0.948985,0.066739,0.306657,0.025216,0.949143,1981.114746,80187.257812,-0.528933,0.170600,0.755981,0.388306,0.487092,27.625000,35.497200,9.820239,11.642220,1980.726440,0.755981,-0.620286,1.141771,0.057293,0.000971,0.000244,0.000335,0,1,0,0.023489,0,0.390000,0,15,0,202
7, 101,40690,40655,-9884,0,0,1.409687,-9.718554,0.045704,0.000063,0.002592,0.014231,-62.218647,114.133301,6.387022,0.480526,-10.091043,-6.727362,-0.630867,-2.220409,2.395024,179.563747,144.123139,-8.056341,0.068001,0.306977,0.025248,0.948949,0.068001,0.306977,0.025248,0.948949,1981.213989,80185.210938,-0.282862,0.170499,0.755981,0.487549,0.477326,27.625000,35.497200,9.820367,12.137441,1980.726440,0.755981,-0.621310,1.141333,0.063870,0.000971,0.000244,0.000335,0,1,0,0.027443,0,0.390000,0,15,0,202
